ID,Subject,Description,Type,Status,Priority,Created,Requester
67128442624,Conversation with Alice,"Alice                    Thanks                               Alice                    Could you send me the proof of transfer please?                             Heba                   kindly go to your rewards page                             Heba                   the coins already added                               Alice                    This is not for the persimmons. This is for my order that was cancelled not by me.                               Alice                    Scroll up this chat ??                               Alice                                               Heba                                              Heba                   kindly check with your bank and share the screenshot with them                               Alice                    So you are issuing a refund (not coins), yes?                             Heba                   we cant issue coins for canceled order                             Heba                   its refund to your card                               Alice                    Please let me know the date the transfer will take place and I'll check on my end                             Heba                   Jul 30, 2023 1:59:45 AM                             Heba                   its already mentioned on above screenshot                               Alice                    Thanks. I'll check.                             Heba                   Thank you for choosing Barakat as your shopping destination and wish you a wonderful day ahead.                                                    View conversation in Freshchat",None,5,1,2023-08-01T10:42:16+04:00,67044260680
67128442167,Conversation with Mital Mehta,"Mital Mehta                    This is order no and I didn’t receive dudhi and I paid for it                               Mital Mehta                    I paid 7.75 for dudhi                               Mital Mehta                                               Heba                   Good morning Mital Mehta Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   We apologize for the inconvenience that this may have caused you. we will escalate this issue with the concerned department and update you accordingly.                             Heba                   Our team has looked into the concern raised by you and is taking actions to make sure the incident does not repeat.  We will credit the amount to your Barakat account as fresh coins , you can redeem the coins on your next purchase .                                                    View conversation in Freshchat",Missing Item,5,1,2023-08-01T10:33:45+04:00,67041956936
67128442090,Conversation with Kiran Dubai Cell,Kiran Dubai Cell                    Dispatched. Your order 3453688 is out for delivery. Our delivery executive will reach out to you shortly. You can also handover any empty boxes at the time of delivery.                               Kiran Dubai Cell                    This order is supposed to reach by 10 am                               Kiran Dubai Cell                    Super delayed now a days                             Heba                   Good morning Kiran Dubai Cell Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   We apologize for the inconvenience that this may have caused you. we will escalate this issue with the concerned department and update you accordingly.                             Heba                   the order has been delivered                                                    View conversation in Freshchat,Order Follow-up,5,1,2023-08-01T10:32:07+04:00,67047719404
67128441915,Conversation with Vishaka,"Vishaka                    Hiiii                               Vishaka                    I got my order yesterday                               Vishaka                    Missing the basil pot                             Heba                   Good morning Vishaka Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   We apologize for the inconvenience that this may have caused you. we will escalate this issue with the concerned department and update you accordingly.                             Heba                   Could you share your order refence number with us?                               Vishaka                    3444657                             Heba                   Our team has looked into the concern raised by you and is taking actions to make sure the incident does not repeat.  We will credit the amount to your Barakat account as fresh coins , you can redeem the coins on your next purchase .                               Vishaka                    Ok thank you.                                                    View conversation in Freshchat",Missing Item,5,1,2023-08-01T10:29:03+04:00,67044006994
67128440595,3453900,payment issue ,Payment Related,5,1,2023-08-01T10:03:31+04:00,67051733468
67128439828,Conversation with Jhon,Jhon                                                 Jhon                    Please can you try to give me the contact number who is in the department of my inquiries. Thank you!                             Heba                   Good afternoon Jhon Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   we have peanut butter                             Heba                                              Heba                   Kindly visit our website https://barakatfresh.ae/ to place the order online or download the app from a google play by using the link -   https://play.google.com/store/apps/details?id=com.barakat or  from app store by using the link - https://apps.apple.com/us/app/id1510001708 All the prices and available items mentioned on the website                               Jhon                    .                               Jhon                    .                             Heba                   you can order it online                                                    View conversation in Freshchat,Enquiry,5,1,2023-08-01T09:48:17+04:00,67051700416
67128439808,Conversation with Alice,"Alice                    Gd morning                               Alice                    This is re order #3452862. All the persimmons are overripe and bruised. Please either replace with new ones or issue fresh coins for refund.                             Heba                   Good morning Alice Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   We apologize for the inconvenience that this may have caused you. we will escalate this issue with the concerned department and update you accordingly.                             Heba                   Our team has looked into the concern raised by you and is taking actions to make sure the incident does not repeat.  We will credit the amount to your Barakat account as fresh coins , you can redeem the coins on your next purchase .                                                    View conversation in Freshchat",Quality Issue,5,1,2023-08-01T09:47:54+04:00,67044260680
67128439795,Conversation with ..,"..                    Some items are missing in my order                             Heba                   Good morning .. Thank you for contacting Barakat! Please let us know how we can help you.                               ..                    Some items were missing in my order                               ..                    I didn’t receive the 2 pineapple slices and the orange juice                             Heba                   Good morning .. Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   We apologize for the inconvenience that this may have caused you. we will escalate this issue with the concerned department and update you accordingly.                             Heba                   Could you share your order refence number with us?                               ..                    Sure                               ..                    3453377                             Heba                   Our team has looked into the concern raised by you and is taking actions to make sure the incident does not repeat. We will deliver the missing items today evening                               ..                    Thanks dear, have a nice day                             Heba                   Thank you for choosing Barakat as your shopping destination and wish you a wonderful day ahead.                                                    View conversation in Freshchat",Missing Item,5,1,2023-08-01T09:47:36+04:00,67051733355
67128439615,Conversation with Shinett Turalakey - refund for baby spinach,"Shinett Turalakey                    Hi                               Shinett Turalakey                                                 Shinett Turalakey                    Other items delivered, but baby spinach not delivered                               Shinett Turalakey                    Can you let me know about this?                             Heba                   Good morning Shinett Turalakey Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   We apologize for the inconvenience that this may have caused you. we will escalate this issue with the concerned department and update you accordingly.                             Heba                   Our team has looked into the concern raised by you and is taking actions to make sure the incident does not repeat.  We will credit the amount to your Barakat account as fresh coins , you can redeem the coins on your next purchase .                               Shinett Turalakey                    I dont need the coins                               Shinett Turalakey                    I need the baby spinach                             Heba                   sorry to inform you Baby Spinach Italy is out of stock                             Heba                   we can send uae Baby Spinach                               Shinett Turalakey                    I dont want uae baby spinach                               Shinett Turalakey                    Just refund it then                               Shinett Turalakey                    Thanks                             Heba                   we will inform the team to process refund to your card                               Shinett Turalakey                    When the italy baby spinach will be on stock                             Heba                   we will check and update you                               Shinett Turalakey                    Ok thanks                               Shinett Turalakey                    And can we get revised invoice too                             Heba                   ok                                                    View conversation in Freshchat",Product Not available,5,1,2023-08-01T09:43:23+04:00,67031740532
67128439243,Conversation with Rand,"Rand                    hello                               Rand                    i placed an order now and inwould like to check if its possible to receive earlier                               Rand                    it was automatically scheduled for 6pm ans i want it earlier please                             Heba                   Good morning Rand Thank you for contacting Barakat! Please let us know how we can help you.                             Heba                   Sorry its not possible to deliver the order before the selected slot, the order still under process and not ready for delivery                                                    View conversation in Freshchat",Order Follow-up,5,1,2023-08-01T09:34:49+04:00,67035100277
